id;enlace_unico;fecha_aplicacion;respuesta_encuesta
1;yummy yippee for;2025-11-19;../fake-data/blob/hipster.txt
2;oh hateful;2025-11-18;../fake-data/blob/hipster.txt
3;unwelcome for how;2025-11-19;../fake-data/blob/hipster.txt
4;tall;2025-11-19;../fake-data/blob/hipster.txt
5;newsprint;2025-11-19;../fake-data/blob/hipster.txt
6;towards that;2025-11-19;../fake-data/blob/hipster.txt
7;cautiously;2025-11-18;../fake-data/blob/hipster.txt
8;rule;2025-11-18;../fake-data/blob/hipster.txt
9;nor;2025-11-18;../fake-data/blob/hipster.txt
10;seemingly;2025-11-19;../fake-data/blob/hipster.txt
