id;nombre;vigencia_desde;vigencia_hasta;structura_json
1;oblong towards;2025-11-19;2025-11-19;../fake-data/blob/hipster.txt
2;annual;2025-11-19;2025-11-19;../fake-data/blob/hipster.txt
3;aw stitcher;2025-11-18;2025-11-19;../fake-data/blob/hipster.txt
4;that;2025-11-18;2025-11-19;../fake-data/blob/hipster.txt
5;whose pfft beyond;2025-11-18;2025-11-19;../fake-data/blob/hipster.txt
6;pear;2025-11-19;2025-11-18;../fake-data/blob/hipster.txt
7;lest wildly forager;2025-11-18;2025-11-19;../fake-data/blob/hipster.txt
8;wafer;2025-11-19;2025-11-19;../fake-data/blob/hipster.txt
9;brr politely;2025-11-18;2025-11-18;../fake-data/blob/hipster.txt
10;circa whoa enthusiastically;2025-11-19;2025-11-18;../fake-data/blob/hipster.txt
